Instance,Income
111994,36740.56349
111995,15916.44681
111996,31283.702
111997,99550.77283
111998,28905.93178
111999,90938.03987
112000,108970.7674
112001,59767.89689
112002,32951.25731
112003,120163.2323
112004,10083.58332
112005,195811.4428
112006,28643.65353
112007,149985.1986
112008,325491.3258
112009,75384.96607
112010,41307.6976
112011,25869.83906
112012,21277.28115
112013,14620.45328
112014,119159.5552
112015,49184.57619
112016,50605.82631
112017,27126.7038
112018,212639.2169
112019,52950.26874
112020,36428.48712
112021,27776.3523
112022,90115.81485
112023,56996.27296
112024,28276.964
112025,81662.1913
112026,42842.24181
112027,68534.32179
112028,50288.43804
112029,40828.12631
112030,175366.4996
112031,197709.4796
112032,254018.5205
112033,103036.1721
112034,214336.8903
112035,101181.5519
112036,107324.612
112037,160435.3264
112038,208983.2893
112039,41932.47998
112040,65266.6597
112041,64452.41893
112042,37002.72326
112043,64016.98969
112044,131558.1058
112045,14689.7048
112046,272183.3923
112047,33466.9678
112048,26223.75085
112049,125876.4975
112050,42374.53634
112051,65639.457
112052,118220.1284
112053,190106.9772
112054,95519.04153
112055,27695.69536
112056,105411.9798
112057,17633.74109
112058,26685.67063
112059,41937.24051
112060,321420.338
112061,129286.7326
112062,179681.2995
112063,73068.87162
112064,18692.54653
112065,66275.31625
112066,6529.995331
112067,109818.7556
112068,51508.83043
112069,260916.2694
112070,374288.5566
112071,47883.39868
112072,80715.30303
112073,36764.35986
112074,25443.93191
112075,17110.57047
112076,136945.3475
112077,1069835.582
112078,9962.531589
112079,161853.3997
112080,89489.99604
112081,930771.6955
112082,42196.72654
112083,47732.20584
112084,14729.65666
112085,35802.0811
112086,34244.58895
112087,46366.7891
112088,139201.5392
112089,61341.55334
112090,168538.9057
112091,43941.87192
112092,29604.95148
112093,107324.612
112094,34799.69248
112095,53893.34092
112096,124246.9217
112097,17975.56513
112098,37791.43715
112099,29180.98973
112100,42839.20245
112101,111198.2293
112102,27661.58847
112103,127503.115
112104,72641.41638
112105,39767.18675
112106,93624.77949
112107,145943.8809
112108,66362.58264
112109,24349.30114
112110,53836.80386
112111,32148.11851
112112,82260.01333
112113,69315.85782
112114,72181.87051
112115,17475.98839
112116,42388.53269
112117,85981.52066
112118,27171.93857
112119,30181.12751
112120,428523.1242
112121,104088.0915
112122,541085.1809
112123,221453.2946
112124,33913.78284
112125,215757.7359
112126,166143.4089
112127,17553.84269
112128,39885.35648
112129,108865.3305
112130,65565.77389
112131,19454.84008
112132,82469.38816
112133,297456.5695
112134,18019.87471
112135,15158.15629
112136,107324.612
112137,16343.37251
112138,32251.67501
112139,56029.42199
112140,40822.69379
112141,41906.21359
112142,54304.10848
112143,184413.3552
112144,30318.12927
112145,30000.52701
112146,35128.00763
112147,229640.6812
112148,52394.00033
112149,87243.09116
112150,9172.088793
112151,334247.5253
112152,83722.11985
112153,47960.15208
112154,25202.31397
112155,102082.5083
112156,74004.30214
112157,87009.43637
112158,31291.64089
112159,314950.1252
112160,42629.28856
112161,141646.718
112162,109535.8719
112163,16385.32716
112164,28616.90882
112165,138909.7883
112166,50902.27575
112167,20428.80823
112168,58051.72719
112169,265899.0321
112170,196085.4956
112171,43380.48717
112172,18570.34902
112173,116086.7958
112174,38651.39703
112175,37311.57997
112176,26903.3238
112177,92210.27349
112178,20439.57246
112179,26156.02898
112180,38170.66419
112181,8445.739124
112182,265188.1782
112183,96922.43339
112184,23600.32831
112185,263173.803
112186,8572.315413
112187,132094.1256
112188,177054.5517
112189,47321.926
112190,26423.86465
112191,85797.40144
112192,307545.0512
112193,57719.35634
112194,143179.9764
112195,38846.83169
112196,28365.05263
112197,222272.5387
112198,32517.39533
112199,50441.34945
112200,58736.17714
112201,276144.9768
112202,146117.6864
112203,33755.72583
112204,39818.65903
112205,10014.798
112206,97887.15079
112207,298954.3655
112208,71388.5791
112209,426072.2933
112210,55160.1543
112211,276812.2286
112212,54029.90235
112213,18134.34096
112214,199648.2653
112215,35054.56465
112216,105670.151
112217,36450.03025
112218,45116.06039
112219,405075.853
112220,24105.54769
112221,6001.294398
112222,28469.22415
112223,49884.12288
112224,161274.2253
112225,20813.83209
112226,53128.54875
112227,57213.48963
112228,102498.2637
112229,59732.67449
112230,152927.6571
112231,18139.30351
112232,147089.8851
112233,26741.55427
112234,38584.29693
112235,23833.93827
112236,111580.0325
112237,383337.2914
112238,41673.8147
112239,14699.31426
112240,14934.26068
112241,20582.40036
112242,51328.79527
112243,59009.32049
112244,144248.22
112245,104024.8839
112246,47206.23432
112247,401705.51
